integration,metric_name,metric_type,metric_enabled,metric_description
OracleDB,db.sharedPoolFreePercentage,Gauge,true,Shared Pool Free %
OracleDB,db.pgaCacheHitPercentage,Gauge,true,PGA Cache Hit %
OracleDB,db.processLimitPercentage,Gauge,true,Process Limit %
OracleDB,db.sessionLimitPercentage,Gauge,true,Session Limit %
OracleDB,db.executionsPerTransaction,Gauge,true,Executions Per Transaction
OracleDB,db.executionsPerSecond,Gauge,true,Executions Per Second
OracleDB,db.TransactionsPerLogon,Gauge,true,Txns Per Logon
OracleDB,db.databaseCpuTimePerSecond,Gauge,true,Database Time Per Second
OracleDB,disk.physicalWriteBytesPerSecond,Gauge,true,Physical Write Total Bytes Per Second
OracleDB,disk.physicalWriteIoRequestsPerSecond,Gauge,true,Physical Write IO Requests Per Second
OracleDB,db.blockChangesPerUserCall,Gauge,true,DB Block Changes Per User Call
OracleDB,db.blockGetsPerUserCall,Gauge,true,DB Block Gets Per User Call
OracleDB,db.executionsPerUserCall,Gauge,true,Executions Per User Call
OracleDB,disk.logicalReadsPerUserCall,Gauge,true,Logical Reads Per User Call
OracleDB,db.sortsPerUserCall,Gauge,true,Total Sorts Per User Call
OracleDB,db.tableScansPerUserCall,Gauge,true,Total Table Scans Per User Call
OracleDB,db.osLoad,Gauge,true,Current OS Load
OracleDB,db.streamsPoolUsagePercentage,Gauge,true,Streams Pool Usage Percentage,
OracleDB,network.ioMegabytesPerSecond,Gauge,true,I/O Megabytes per Second
OracleDB,network.ioRequestsPerSecond,Gauge,true,I/O Requests per Second
OracleDB,db.averageActiveSessions,Gauge,true,Average Active Sessions
OracleDB,db.activeSerialSessions,Gauge,true,Active Serial Sessions
OracleDB,db.activeParallelSessions,Gauge,true,Active Parallel Sessions
OracleDB,db.backgroundCpuUsagePerSecond,Gauge,true,Background CPU Usage Per Second
OracleDB,db.backgroundTimePerSecond,Gauge,true,Background Time Per Second
OracleDB,db.hostCpuUsagePerSecond,Gauge,true,Host CPU Usage Per Second
OracleDB,db.sessionCount,Gauge,true,session count
OracleDB,tablespace.spaceUsedPercentage,Gauge,true,Ratio of used to total tablespace
OracleDB,tablespace.isOffline,Gauge,true,Boolean for Tablespace Offline status
